NumResidentialUnits,Decision,Decision
2.0,Granted (Conditional),81
2.0,Refused,32
3.0,Granted (Conditional),20
3.0,Refused,9
4.0,Granted (Conditional),14
4.0,Refused,9
5.0,Granted (Conditional),9
5.0,Refused,2
6.0,Granted (Conditional),7
6.0,Refused,4
7.0,Granted (Conditional),5
7.0,Refused,2
8.0,Granted (Conditional),3
8.0,Refused,2
9.0,Granted (Conditional),6
9.0,Refused,1
10.0,Granted (Conditional),9
10.0,Refused,2
11.0,Granted (Conditional),1
11.0,Refused,1
12.0,Granted (Conditional),2
12.0,Refused,2
13.0,Granted (Conditional),2
13.0,Refused,1
14.0,Granted (Conditional),3
15.0,Granted (Conditional),2
16.0,Granted (Conditional),2
16.0,Refused,1
17.0,Granted (Conditional),2
18.0,Granted (Conditional),4
18.0,Refused,2
20.0,Granted (Conditional),1
20.0,Refused,1
21.0,Refused,1
23.0,Refused,1
24.0,Granted (Conditional),3
25.0,Granted (Conditional),1
26.0,Granted (Conditional),1
28.0,Granted (Conditional),1
30.0,Granted (Conditional),1
30.0,Refused,1
32.0,Granted (Conditional),3
32.0,Refused,1
34.0,Granted (Conditional),2
34.0,Refused,2
35.0,Refused,1
36.0,Granted (Conditional),1
37.0,Granted (Conditional),1
40.0,Granted (Conditional),1
44.0,Refused,1
45.0,Granted (Conditional),1
46.0,Granted (Conditional),2
46.0,Refused,1
48.0,Granted (Conditional),1
51.0,Granted (Conditional),2
52.0,Granted (Conditional),1
53.0,Granted (Conditional),1
54.0,Granted (Conditional),1
56.0,Refused,1
57.0,Granted (Conditional),1
58.0,Granted (Conditional),1
58.0,Refused,1
59.0,Granted (Conditional),2
60.0,Granted (Conditional),1
60.0,Refused,1
67.0,Granted (Conditional),1
71.0,Granted (Conditional),2
73.0,Granted (Conditional),1
82.0,Refused,1
83.0,Granted (Conditional),1
85.0,Refused,1
86.0,Granted (Conditional),1
89.0,Granted (Conditional),1
90.0,Granted (Conditional),1
94.0,Granted (Conditional),1
97.0,Granted (Conditional),2
97.0,Refused,1
98.0,Granted (Conditional),2
99.0,Refused,2
99.0,Granted (Conditional),1
133.0,Granted (Conditional),1
150.0,Refused,1
153.0,Granted (Conditional),1
239.0,Granted (Conditional),1
